travel_order_sentence,start,end,middle
Je suis à Avenue-Foch et je veux me rendre à Oullins ah merde oublie ce que je viens de dire j'ai eu un petit contre temps enfaite je dois me rendre à Vélines et je dois passer par Ingersheim-Cité-Scolaire par contre je suis vraiment à Seurre,Seurre,Vélines,Ingersheim-Cité-Scolaire
Il neige à Clerval du coup je me lance de Cransac arrêt à Plouigneau destination St-Pol-de-Léon,Cransac,St-Pol-de-Léon,Plouigneau
De Hunspach à Laneuville au pont avec un crochet à Lebeuville avant je voulais aller à Breuches mais finalement je ne vais pas y aller,Hunspach,Laneuville au pont,Lebeuville
Je vais de Les Saules à Douzies pas à Savenay,Les Saules,Douzies,
J'habite à Place Georges Berry je dois aller à Passage Bourgoin mais je dois passer par Rue Joseph de Maistre,,Passage Bourgoin,Rue Joseph de Maistre
De St leger du malzieu à Remereville Beauvoir sur niort et Eze sont barrés,St leger du malzieu,Remereville,
Pas Rue du Général Foy je veux dire de Rue Lisfranc pour aller Square des Aliscamps et du coup je passe pas par Voie V/20,Rue Lisfranc,Square des Aliscamps,
J'aimerais aller devant Étriché-Châteauneuf et là je pars de chez moi à Phalempin,Phalempin,Étriché-Châteauneuf,
Je dois aller à Boussay-La Bruffière,,Boussay-La Bruffière,
Pour arriver à Villennes-sur-Seine je dois partir de Plaisir-Les Clayes non de Frynaudour,Frynaudour,Villennes-sur-Seine,
Position actuelle Frynaudour direction Mantes-la-Jolie Hannon je voulais dire Héricy,Frynaudour,Héricy,
Je dois partir de St-Priest-Taurion merde de Vélines pour me rendre à Anor fait un petit détour à Montroc-le-Planet,Vélines,Anor,Montroc-le-Planet
Je vais faire Rue Nationale Rue Jules Pichard en passant par Rue de Lesdiguières,Rue Nationale,Rue Jules Pichard,Rue de Lesdiguières
Comment aller à Rue Planchat en passant par Villa Vauvenargues ah enfaite je veux aller Avenue Joseph Bédier en passant par Voie Ac/18 en partant de Villa Industrielle,Villa Industrielle,Avenue Joseph Bédier,Voie Ac/18
Je dois voyager à Promenade Jean-Paul Belmondo ah non je voulais dire Rue Saint-Germain l'Auxerrois pardon et je suis à Rue Montmartre là,Rue Montmartre,Rue Saint-Germain l'Auxerrois,
De Avenue Rockefeller excuse-moi donc Passage Vallet à Allée Marius Barroux,Passage Vallet,Allée Marius Barroux,
Calcule un trajet mais pas direct Je veux partir de Rue du Chalet ensuite Passage Saint-Ambroise et pour finir Square Got,Rue du Chalet,Square Got,Passage Saint-Ambroise
De L'Hôpital-du-Grosbois excuse-moi donc Givet à Bouray,Givet,Bouray,
Je pars de Boussay-La Bruffière je vais à Paris-Gare-de-Lyon,Boussay-La Bruffière,Paris-Gare-de-Lyon,
Ça sera Xertigny St-Rome-de-Cernon puis Wimille-Wimereux,Xertigny,Wimille-Wimereux,St-Rome-de-Cernon
On va à St-Florentin-Vergigny Bessines et on part de Douzies,Douzies,Bessines,
Le chemin Montezic Saugon s'il te plaît,Montezic,Saugon,
Direction Condat sur vezere depuis Esperce,Esperce,Condat sur vezere,
Je dois poser quelque chose à Rue Papillon entre Voie Ee/20 et Rue de l'Abbé Rousselot,Voie Ee/20,Rue de l'Abbé Rousselot,Rue Papillon
Je dois me rendre chez ma mère là elle habite à Meudon-Val-Fleury mais là je suis à Le Monastier et avant ça j'ai besoin de passer devant un magasin qui est à Estavar,Le Monastier,Meudon-Val-Fleury,Estavar
Je dois me rendre devant Les mollettes pardon Mayet de Brantigny,Brantigny,Mayet,
Comment aller à Terres de bord en passant par Ste cecile les vignes ah enfaite je veux aller Segos en passant par Crasville la rocquefort en partant de Villemorien,Villemorien,Segos,Crasville la rocquefort
Je vais à La collancelle en prenant le chemin qui passe par Pontacq,,La collancelle,Pontacq
Hey tu peux me déposer à Rue Nationale Ah et sur le chemin faut qu'on s'arrête à Carrefour des Cascades Je t'attends à Rue Gay-Lussac,Rue Gay-Lussac,Rue Nationale,Carrefour des Cascades
J'habite à Aureille je dois aller à Aulnay la riviere mais je dois passer par Les deux alpes en partant de Ste mere,Ste mere,Aulnay la riviere,Les deux alpes
Laneuville au pont en prenant le passage de Mery sur seine,,Laneuville au pont,Mery sur seine
Je vais à Segos en prenant le chemin qui passe par St remy sur avre,,Segos,St remy sur avre
T'es disponible pour me conduire je pars de Marolles-en-Hurepoix faut que je passe par Génolhac avant d'arriver à Mignaloux-Nouaillé,Marolles-en-Hurepoix,Mignaloux-Nouaillé,Génolhac
Je dois aller à Xertigny là mais avant ça je dois aller à Limoges-Montjovis et j'habite à Cransac donc je pars de là,Cransac,Xertigny,Limoges-Montjovis
Montezic jusque St brice courcelles jusque St leger du malzieu désolé,Montezic,St leger du malzieu,
Je suis près de Place Joachim du Bellay à côté du supermarché je dois passer à la pharmacie de Place Slimane Azem avant d'aller à Chemin des Gravilliers,Place Joachim du Bellay,Chemin des Gravilliers,Place Slimane Azem
Comment aller de Rue Notre-Dame des Victoires à Rue de Monbel,Rue Notre-Dame des Victoires,Rue de Monbel,
Je dois aller à Bouray,,Bouray,
Pour aller de Oberdorff à Aulnay la riviere je dois d'abord passer par Arnave,Oberdorff,Aulnay la riviere,Arnave
Comment faire pour aller de Rue Guy Môquet à Cité Leclaire en passant par Rue Jean Renoir,Rue Guy Môquet,Cité Leclaire,Rue Jean Renoir
Ma mère m'attend à Rocher sur la route entre Peyrusse grande et May sur orne,Peyrusse grande,May sur orne,Rocher
Je suis à La cabanasse faut aller à Le leslay puis Tessel,La cabanasse,Tessel,Le leslay
Mon pote m'attend à St-Martin-le-Beau faut qu'on aille à Castelnaudary,St-Martin-le-Beau,Castelnaudary,
Mon planning a changé plus besoin d'aller vers Gien sur cure juste Chamigny mais pas Valromey sur seran direction Chainaz les frasses,Chamigny,Chainaz les frasses,
Je pars de Rue de Palestine dans une heure pause déjeuner à Impasse de la Baleine pour arriver à Square Claude Debussy ce soir,Rue de Palestine,Square Claude Debussy,Impasse de la Baleine
Je suis perdu entre Tornay et Blacy je veux juste Evillers Chatte,Evillers,Chatte,
Je veux faire Etevaux Grainville sur odon,Etevaux,Grainville sur odon,
J'hésite entre Treban et Bazoches et st thibaut non en fait Lurcy direction Chamigny,Lurcy,Chamigny,
Je dois me rendre chez ma mère là elle habite à Lafrancaise mais là je suis à Brugny vaudancourt et avant ça j'ai besoin de passer devant un magasin qui est à Echalou,Brugny vaudancourt,Lafrancaise,Echalou
Je dois me rendre devant Gros-Noyer-St-Prix pardon Pérenchies de Mormant,Mormant,Pérenchies,
Alors Chamalières-sur-Loire attends voilà Pignans Watten-Éperlecques par Cannes-la-Bocca,Pignans,Watten-Éperlecques,Cannes-la-Bocca
Mon ami m'attend à Jaux pour 10 minutes sur ma route de Presles-Courcelles à Ebersheim,Presles-Courcelles,Ebersheim,Jaux
Miramas à Dannemarie-Velesmes Hannon Étriché-Châteauneuf à Castelnaudary,Étriché-Châteauneuf,Castelnaudary,
Pour me rendre à Rue de Castellane je dois passer par Rue des Déchargeurs en partant de Rue Tristan Tzara Rue de l'Elysée,Rue de l'Elysée,Rue de Castellane,Rue des Déchargeurs
Aller à Chateau gaillard,,Chateau gaillard,
Chemin vers Rosey,,Rosey,
La fête à Ars laquenexy est annulé je pars de Chateau gaillard pour rejoindre Veney,Chateau gaillard,Veney,
Loupiac de la reole en partant à St malo de la lande non à Bilieu je mélange,Bilieu,Loupiac de la reole,
Je vais faire Verneusses Le monteil en passant par Thieuloy st antoine,Verneusses,Le monteil,Thieuloy st antoine
Mon pote m'attend à Impasse des Trois Soeurs faut qu'on aille à Rue Henri Moissan,Impasse des Trois Soeurs,Rue Henri Moissan,
Ma mère m'attend à Rue Gutenberg sur la route entre Souterrain Berger Est et Rue du Soleil,Souterrain Berger Est,Rue du Soleil,Rue Gutenberg
Hey tu peux me déposer à Rue de l'Abbé Rousselot ah et sur le chemin faut qu'on s'arrête à Rue Claude Lorrain,,Rue de l'Abbé Rousselot,Rue Claude Lorrain
Commence Distroff continue Coivert termine La cabanasse,Distroff,La cabanasse,Coivert
Emmène-moi à Jonville en woevre,,Jonville en woevre,
Je vis à Rue Médéric je cherche à partir de la ville la plus proche qui est Voie Ee/20 pour aller à Passage des Panoramas mais je souhaiterais passer par Rue Jean Giono pour voir ma famille,Voie Ee/20,Passage des Panoramas,Rue Jean Giono
Position Planioles destination finale Sauville,Planioles,Sauville,
Emmène-moi à Guincourt là je suis à Cranves sales,Cranves sales,Guincourt,
Pont de labeaume à Voutenay sur cure ah non St moreil à Savy berlette,St moreil,Savy berlette,
Comment puis-je aller à Villa Industrielle de Rue Rouget de l'Isle par Rue Jean de Beauvais,Rue Rouget de l'Isle,Villa Industrielle,Rue Jean de Beauvais
Comment va de Rue de la Jussienne Boulevard Lannes,Rue de la Jussienne,Boulevard Lannes,
Je dois être à Rue Albin Haller je suis à Rue Xavier Privas,Rue Xavier Privas,Rue Albin Haller,
Emmène-moi à Bulson,,Bulson,
J'ai besoin d'un itinéraire Alors on va dire départ Lérouville arrivée Châtel-Nomexy ah non non Bazoches pardon mais faut passer par Châtel-Nomexy,Lérouville,Bazoches,Châtel-Nomexy
Mon ami m'attend à Ronchamp pour 10 minutes sur ma route de St-Pierre-la-Cour à Argelès-sur-Mer,St-Pierre-la-Cour,Argelès-sur-Mer,Ronchamp
Calcule-moi St etienne de puycorbier passe par Rosey fini à Laneuville au pont vite,St etienne de puycorbier,Laneuville au pont,Rosey
Position Voie Ar/17 destination finale Rue Lisfranc,Voie Ar/17,Rue Lisfranc,
Je veux me rendre à Virieu le grand en passant par Berneuil alors que je suis actuellement à Uzel pres l oust,Uzel pres l oust,Virieu le grand,Berneuil
Je veux aller à Rue la Vacquerie Rue Quincampoix en passant par Cour du Nom de Jésus en partant de Voie Cd/15,Voie Cd/15,Rue Quincampoix,Cour du Nom de Jésus
Je dois poser quelque chose à Place Ousmane Sow entre Rue Rouget de l'Isle et Rue Miguel Hidalgo,Rue Rouget de l'Isle,Rue Miguel Hidalgo,Place Ousmane Sow
Je voudrais aller à La Courneuve-Dugny Cordemais plutôt et je partirai de Frynaudour,Frynaudour,Cordemais,
Bagnac fermé Lafarge bloqué Cesson annulé donc Les Saules Surdon,Les Saules,Surdon,
J'habite à Brassac-les-Mines-Ste-Florine je dois passer par Arles pour aller à Changis-St-Jean,Brassac-les-Mines-Ste-Florine,Changis-St-Jean,Arles
Saugon jusque Cherbourg en cotentin jusque Douvres désolé,Saugon,Douvres,
T'es disponible pour me conduire je pars de Peyrusse grande faut que je passe par Dammarie les lys avant d'arriver à Laneuville au pont,Peyrusse grande,Laneuville au pont,Dammarie les lys
Pas Joeuf plutôt de St-Martin-le-Beau à Busigny ou plutôt Mohon,St-Martin-le-Beau,Mohon,
J'ai rendez-vous à Rue du Petit Moine à 14h puis je dois aller à Rue de Palestine je suis à Voie Ee/20,Voie Ee/20,Rue de Palestine,Rue du Petit Moine
Je suis perdu entre Rue Sainte-Beuve et Rue Léopold Bellan je veux juste Voie Fd/20 Rue de Monbel,Voie Fd/20,Rue de Monbel,
On part de St anthot on s'arrête en face de St etienne la varenne puis Hunspach,St anthot,Hunspach,St etienne la varenne
Pour me rendre à Blequin je dois passer par Manas bastanous en partant de Biars sur cere Guiseniers,Guiseniers,Blequin,Manas bastanous
Mon GPS indique Rue Charles Bossut mais je veux aller de Passage de la Tour de Vanves à Voie Eq/20 Boulevard Lannes pardon,Passage de la Tour de Vanves,Boulevard Lannes,
Aller à Sérifontaine en empruntant le parcours de Vic-Mireval Juziers en partant de Marseille-St-Charles,Marseille-St-Charles,Sérifontaine,Juziers
Laval en belledonne à Loupiac de la reole c’est où,Laval en belledonne,Loupiac de la reole,
Oublie Rue des Hautes Formes calcule Rue Bosquet Rue de l'Abbé Rousselot par Avenue des Alouettes,Rue Bosquet,Rue de l'Abbé Rousselot,Avenue des Alouettes
Je pars de Pradelles dans une heure pause déjeuner à Loisy en brie pour arriver à Balesta ce soir,Pradelles,Balesta,Loisy en brie
Je suis à Peyrusse grande faut aller à Autrey le vay puis Lafrancaise,Peyrusse grande,Lafrancaise,Autrey le vay
Hachette en quittant Igny je voulais dire que je vais à Thann-St-Jacques,Igny,Thann-St-Jacques,
Pour aller à Écommoy je dois traverser Ermont-Eaubonne (PSL) Lille-Sud je voulais dire et je débute à Cransac,Cransac,Écommoy,Lille-Sud
Alet-les-Bains par Nogent-Le Perreux Hannon Presles-Courcelles par Arc-et-Senans pour Isbergues,Presles-Courcelles,Isbergues,Arc-et-Senans
Cransac Marolles-en-Hurepoix par Boran-sur-Oise,Cransac,Marolles-en-Hurepoix,Boran-sur-Oise
Je dois passer au travail situé à St-André pour rejoindre mon appartement à Morcenx et je suis actuellement à Jarnac,Jarnac,Morcenx,St-André
Avant d'arriver à Passage Bourgoin il faut que je absolument faire un stop à Rue Théophraste Renaudot,,Passage Bourgoin,Rue Théophraste Renaudot
Emmène-moi à Mauzac non je voulais dire à Villennes-sur-Seine et là je suis à Conflans-Ste-Honorine,Conflans-Ste-Honorine,Villennes-sur-Seine,
Je dois voyager à Obermodern ah non je voulais dire Tagolsheim pardon et je suis à Phalempin là,Phalempin,Tagolsheim,
Alors Rue Zadkine attends voilà Rue Bréa Place Georges Berry par Passage des Ménétriers,Rue Bréa,Place Georges Berry,Passage des Ménétriers
Comment aller de Rue Pelée jusqu'à Voie Cg/15,Rue Pelée,Voie Cg/15,
Rendez-vous annulé à La Hume je vais St-Georges-de-Commiers à Metz-Ville,St-Georges-de-Commiers,Metz-Ville,
Je pars de Tagolsheim je vais comment à Jussey,Tagolsheim,Jussey,
Je veux me rendre chez mon ami qui habite à Villa Industrielle en partant de Voie Cd/20 mais avant je vais à Place Mireille,Voie Cd/20,Villa Industrielle,Place Mireille
J'habite à Roeux je dois aller à Anor mais je dois passer par Créteil-Pompadour en partant de Pignans,Pignans,Anor,Créteil-Pompadour
Menton-Garavan le point de départ est St-Varent,St-Varent,Menton-Garavan,
Rue de Tolbiac Square des Aliscamps je fais quoi,Rue de Tolbiac,Square des Aliscamps,
J'ai dit Roeschwoog non Porchefontaine vers Les Saules,Porchefontaine,Les Saules,
Oublie Coucy calcule St maximin la ste baume Lafrancaise par Castelsagrat,St maximin la ste baume,Lafrancaise,Castelsagrat
On part de Place Gabriel Kaspereit on s'arrête en face de Square de Tocqueville puis direction Rue du Soleil,Place Gabriel Kaspereit,Rue du Soleil,Square de Tocqueville
Chemin vers Jussey,,Jussey,
Pérenchies destination Villennes-sur-Seine,Pérenchies,Villennes-sur-Seine,
Je pars de Oberdorff je passe par St raphael et j'arrive à La collancelle,Oberdorff,La collancelle,St raphael
St-Aubin (Jura) arrêt St-Louis fin Ebersheim,St-Aubin (Jura),Ebersheim,St-Louis
Position actuelle Lurcy direction St nazaire les eymes Hannon je voulais dire Wattignies la victoire,Lurcy,Wattignies la victoire,
Besoin d'un chauffeur départ Rue Pierre Mouillard arrêt obligatoire à Rue Pecquay arrivée finale Rue du Soleil,Rue Pierre Mouillard,Rue du Soleil,Rue Pecquay
Le GPS Bugge à Arras direction Igny Porchefontaine,Igny,Porchefontaine,
J'habite à Rue Bosquet je dois passer par Passage Julien Lacroix pour aller à Passage des Panoramas,Rue Bosquet,Passage des Panoramas,Passage Julien Lacroix
De Frehel à Royaucourt Terrats et Tonneins sont barrés,Frehel,Royaucourt,
Trop de bouchons vers Vert toulon je prends Oyonnax Sauville,Oyonnax,Sauville,
Avec la pluie je préfère passer par Trie-Château pour aller de Jarnac à Mignaloux-Nouaillé,Jarnac,Mignaloux-Nouaillé,Trie-Château
Marmont pachas direct apres Chanu depart Blequin,Blequin,Marmont pachas,Chanu
On part de Barentin-Embranchement on s'arrête en face de Châteaubriant puis Fourchambault,Barentin-Embranchement,Fourchambault,Châteaubriant
St-Georges-de-Commiers Pithiviers je fais comment,St-Georges-de-Commiers,Pithiviers,
Pensais partir Rue Balard mais en fait je me lance de Cité Hittorf je récupère un truc à Passage Cottin puis Rue du Soleil,Cité Hittorf,Rue du Soleil,Passage Cottin
Pas par Rivesaltes à Hénin-Beaumont mais par Brassac-les-Mines-Ste-Florine en passant par St-Macaire pour finir à Morcenx mais du coup je ne vais pas à Marseille-Maritime-Arenc,Brassac-les-Mines-Ste-Florine,Morcenx,St-Macaire
À Rue Miguel Hidalgo j'ai besoin de d'abord passer par Passage de la Brie,,Rue Miguel Hidalgo,Passage de la Brie
De Bilieu à Lebetain Sermange et Le mesnil durdent sont barrés,Bilieu,Lebetain,
Je suis en retard faut que j'aille de Guincourt à Baliros,Guincourt,Baliros,
Je veux aller de Rue Jules Pichard jusqu'à Voie Gc/13 mais pas directement faut que je fasse un arrêt à Rue Théroigne de Méricourt,Rue Jules Pichard,Voie Gc/13,Rue Théroigne de Méricourt
Je suis perdu entre Rue de Sainte-Hélène et Rue Meissonier je veux juste Avenue Anatole France Rue Montmartre,Avenue Anatole France,Rue Montmartre,
Je dois voyager à Place de Barcelone ah non je voulais dire Voie Cp/12 pardon et je suis à Rue Henri Moissan là,Rue Henri Moissan,Voie Cp/12,
Trajet de Chateau gaillard terminus Riscle,Chateau gaillard,Riscle,
Le GPS bug à Varennes-sur-Fouzon direction Castelnaudary Villennes-sur-Seine,Castelnaudary,Villennes-sur-Seine,
Je dois être Montezic rapidement je suis Eaucourt sur somme,Eaucourt sur somme,Montezic,
J'ai un colis à récupérer à Rue des Lyonnais en allant de Rue Gay-Lussac à Voie Gc/13,Rue Gay-Lussac,Voie Gc/13,Rue des Lyonnais
Je pars de Royaucourt je vais à Quercitello,Royaucourt,Quercitello,
J'ai un colis à récupérer à La ferte sur chiers en allant de La chapelle hareng à Vincent froideville,La chapelle hareng,Vincent froideville,La ferte sur chiers
Je suis à Route de l'Asile National et je veux me rendre à Rue Octave Feuillet ah merde oublie ce que je viens de dire j'ai eu un petit contre temps enfaite je dois me rendre à Rue Nationale et je dois passer par Villa Adrienne par contre je suis vraiment à Rue du Chalet,Rue du Chalet,Rue Nationale,Villa Adrienne
